12to11	0.1-1	Unofficial AppImage of 12to11 [Maintainer=@Samueru-sama]	15468348		https://github.com/pkgforge-dev/12to11-AppImage/releases/download/0.1-1%402026-09-01_1788277686/12to11-0.1-1-anylinux-x86_64.AppImage	
2ship2harkinian	5.0.1	Unofficial AppImage of 2ship2harkinian [Maintainer=@Link4Electronics]	32843017		https://github.com/pkgforge-dev/2ship2harkinian-AppImage-Enhanced/releases/download/5.0.1%402026-09-07_1788788271/2SHIP-5.0.1-anylinux-x86_64.AppImage	
86box	6.0-1	Unofficial AppImage of 86box [Maintainer=@Link4Electronics]	114780851		https://github.com/pkgforge-dev/86box-AppImage-Enhanced/releases/download/6.0-1%402026-09-01_1788271585/86Box-6.0-1-anylinux-x86_64.AppImage	
aaaaxy	1.7.218-1	 Unofficial AppImage of AAAAXY game.　　　　　　　　　[Maintainer=@fiftydinar]	51752737		https://github.com/pkgforge-dev/AAAAXY-AppImage-Enhanced/releases/download/1.7.218-1%402026-09-01_1788277858/AAAAXY-1.7.218-1-anylinux-x86_64.AppImage	
abaddon	0.2.4	Unofficial AppImage of Abaddon [Maintainer=@Link4Electronics]	42050017		https://github.com/pkgforge-dev/Abaddon-AppImage/releases/download/0.2.4%402026-09-09_1788938155/abaddon-0.2.4-anylinux-x86_64.AppImage	
adobe-flash-player	32.0.0.465-1	Over 67 billion devices use adobe flash player!　　　　　　　　　　[Maintainer=@fiftydinar]	36721490		https://github.com/pkgforge-dev/Adobe-Flash-Player-AppImage/releases/download/32.0.0.465-1%402026-09-01_1788265245/Adobe_Flash_Player_Standalone-32.0.0.465-1-anylinux-x86_64.AppImage	
aerofoil	eccf2cf52	Unofficial AppImage of Aerofoil [Maintainer=@Link4Electronics]	28734434		https://github.com/pkgforge-dev/Aerofoil-AppImage/releases/download/eccf2cf52%402026-09-01_1788278373/Aerofoil-eccf2cf52-anylinux-x86_64.AppImage	
akhenaten	ra2606	Unofficial AppImage of Akhenaten [Maintainer=@Link4Electronics]	37405999		https://github.com/pkgforge-dev/Akhenaten-AppImage/releases/download/ra2606%402026-09-01_1788277952/Akhenaten-ra2606-anylinux-x86_64.AppImage	
alacritty	0.17.0	Unofficial AppImage of alacritty [Maintainer=@Samueru-sama]	19840534		https://github.com/pkgforge-dev/alacritty-AppImage/releases/download/v0.17.0%402026-09-01_1788278208/Alacritty-v0.17.0-anylinux-x86_64.AppImage	
amarok	3.3.3-1	Unofficial AppImage of Amarok [Maintainer=@Link4Electronics]	201295486		https://github.com/pkgforge-dev/Amarok-AppImage/releases/download/3.3.3-1%402026-09-01_1788278428/Amarok-3.3.3-1-anylinux-x86_64.AppImage	
amethyst-mod-manager	1.2.13-1	WIP	51702342		https://github.com/pkgforge-dev/Amethyst-Mod-Manager-AppImage-Enhanced/releases/download/1.2.13-1%402026-05-01_1777638557/Amethyst_Mod_Manager-1.2.13-1-anylinux-x86_64.AppImage	
amiberry	8.3.0	Unofficial AppImage of Amiberry [Maintainer=@Link4Electronics]	43022517		https://github.com/pkgforge-dev/Amiberry-AppImage/releases/download/8.3.0%402026-09-01_1788278384/Amiberry-8.3.0-anylinux-x86_64.AppImage	
android-tools	37.0.1	Unofficial AppImage of Android Platform Tools (adb, fastboot, etc). Can also install udev rules. [Maintainer=@Samueru-sa	9507282		https://github.com/pkgforge-dev/android-tools-AppImage/releases/download/37.0.1%402026-09-01_1788277689/Android_Tools-37.0.1-anylinux-x86_64.AppImage	
android-translation-layer	b7bedbb8	Unofficial AppImage of Android Translation Layer [Maintainer=@Samueru-sama] 	135728087		https://github.com/pkgforge-dev/android_translation_layer-AppImage/releases/download/b7bedbb8%402026-09-01_1788278422/Android_Translation_Layer-b7bedbb8-anylinux-x86_64.AppImage	
anki	26.08.1-1	Unofficial AppImage of anki. [Maintainer=@Samueru-sama]	180397378		https://github.com/pkgforge-dev/anki-AppImage/releases/download/26.08.1-1%402026-09-01_1788278314/Anki-26.08.1-1-anylinux-x86_64.AppImage	
antigravity	2.12.2	Unofficial AppImage of Antigravity [Maintainer=@mnalmahmud] 	172419590		https://github.com/pkgforge-dev/Antigravity-AppImage/releases/download/2.12.2%402026-09-08_1788869126/Antigravity-2.12.2-anylinux-x86_64.AppImage	
